id;first_name;middle_name;last_name;email;phone
1;Roosevelt;furthermore sarcastic;Lakin;Cierra_Spencer5@hotmail.com;(200) 235-4850 x777
2;Addie;ugly;Gutkowski;Shayne75@hotmail.com;(318) 831-0772 x277
3;Lambert;awkwardly minus;Jenkins;Virginie.Heaney99@gmail.com;649-627-1544 x83034
4;Rasheed;towards;Wisozk;Zackery.Weber@gmail.com;(608) 905-2143
5;Keaton;leading although meanwhile;Bernier;Andreane95@hotmail.com;1-350-780-0056 x6883
6;Jada;transfer drat;Denesik;Willard_Weimann@hotmail.com;(738) 533-0308 x272
7;Demetrius;next;Rempel;Lisa.Senger95@gmail.com;1-696-949-1620 x2800
8;Joe;promptly;Gorczany-Ernser;Roselyn81@hotmail.com;(625) 662-6950 x451
9;Graciela;mmm unbearably;Parisian;Dawson_Daniel24@hotmail.com;(919) 510-8149 x048
10;Ila;marvelous gladly;Schiller;Ernie_Shanahan@yahoo.com;747-385-5437 x0819
